question,answer
What is the closing checklist for the kitchen?,"Check all food temps and label/date leftovers; discard anything past hold time. Clean and sanitize all prep surfaces, cutting boards, and utensils. Break down the line—remove pans, clean wells, and wipe equipment. Empty and sanitize steam table. Sweep and mop kitchen floor. Lock dry storage and walk-in cooler. Complete closing log and sign off."
What should I check on the grill at closing?,"Turn off grill and let cool slightly. Scrape grates clean and wipe down surfaces. Check gas valves are fully off. Clean grease trap and empty drip pan. Sanitize surrounding surfaces. Log temp readings from last hour and file with closing report."
How do I close out the cash register at end of shift?,"Count drawer and record totals on the shift report. Reconcile against POS sales summary. Separate bills by denomination and wrap coins. Complete the cash drop form and place excess in the safe. Log any discrepancies with manager notes. Secure the register and shut down the POS terminal."
What is the morning prep sequence for the line?,"Start with proteins—marinate and begin cooking chicken and steak to par levels. Prep salsas and guacamole fresh. Chop lettuce, tomatoes, and other cold toppings. Fill and label all line pans with correct portions. Set steam table temps and verify hot holds are above 140°F. Stock cups, lids, and wraps at each station."
How do I build a prep sheet for the lunch rush?,"Pull yesterday's sales data and today's forecast for 11am–2pm. Calculate protein quantities based on average transaction mix. Set par levels 20% above forecast to buffer for rush. Assign prep tasks by role—grill, pantry, prep cook. Schedule in 30-min blocks with buffer time. Note any catering orders that need priority."
What proteins need to be prepped for a typical Saturday?,"Saturdays run 15–25% above weekday volume. Plan for 30–40% more chicken (most popular), 20% more steak, and 15% more sofritas and carnitas. Prep in two batches—one for open through 2pm, a second fresh batch for 2pm through close. Monitor par levels every 30 minutes during peak."
How do I give positive recognition to an employee?,"Recognize in the moment or within the same shift while it's fresh. Be specific—name the behavior and its impact ('You kept the line moving during the rush and that prevented a 10-minute wait'). Use shift huddle for public praise or a private 1:1 if the employee prefers low-key acknowledgment. Log it in their file so it carries into reviews."
What is a good way to recognize a new employee who is improving?,"Acknowledge progress, not just perfection. Point to a specific skill they've improved on ('Your burrito wraps are much tighter this week'). Connect the improvement to team outcomes. Pair recognition with a stretch goal to keep momentum. Consider a peer shoutout during pre-shift huddle so the team reinforces it too."
How should I structure a shift huddle for recognition?,"Keep it to 2–3 minutes at the start of the shift. Call out one or two specific behaviors from the previous shift. Tie praise to team values—speed, quality, hospitality. Invite peers to add recognition. Keep tone genuine and avoid generic statements like 'great job.' End with the day's focus goal."
What should be on the afternoon prep checklist?,"Restock all line pans depleted during lunch. Start a fresh batch of proteins for the dinner window. Refresh salsas and restock cold toppings. Clean and reset steam table. Restock to-go bags, napkins, and utensils. Check floor and dining area for cleanliness. Brief incoming staff on any 86'd items or equipment issues."
How do I handle a recognition situation when an employee makes a mistake but recovers well?,"Focus the recognition on the recovery, not the mistake. Say something like: 'You caught the error, fixed it quickly, and kept the guest happy—that's exactly how we want people to respond.' Avoid drawing attention to the original error in public. This builds a culture of accountability without fear."
What food safety checks are required at closing?,"Check and log temps of all refrigerators and walk-in (must be 41°F or below). Verify all hot-hold items are properly stored or discarded. Label and date all remaining prepped food. Remove and clean all cutting boards. Sanitize food contact surfaces. Complete and sign the FSRA closing checklist."
How do I build a dinner prep sheet?,"Pull POS data from the last two Tuesdays (or same day of week) to estimate volume. Identify the 4pm–8pm peak window. Set protein par levels and assign re-fire times. Schedule a dedicated prep cook for restocking proteins at 5pm and 7pm. Flag any low-stock items to order. Assign cleanup zones for end of night."
What is the process for end-of-day waste tracking?,"At closing, weigh or count all discarded food by category—proteins, vegetables, dairy. Record in the waste log with time, quantity, and reason (expired, overproduced, dropped). Compare against prep sheet targets. If waste exceeds 5% of prep volume, note it for the next morning's debrief. Use data to refine future par levels."
How can I motivate a team member who seems disengaged?,"Have a short private check-in—ask open questions about how they're feeling about their role. Listen without jumping to solutions. Identify if it's a skill gap, a scheduling issue, or a morale issue. Set one small, achievable goal for the shift and recognize when they hit it. Follow up at the next shift."
What should I verify before opening the restaurant?,"Confirm all equipment is on and at temp—grill, steam table, fryers, refrigerators. Verify food deliveries against the order sheet. Walk the dining area for cleanliness. Check that all stations are stocked and labeled. Confirm staffing for the shift and assign positions. Do a 2-minute team huddle to align on the day's focus."
How do I document a recognition moment for an employee's record?,"Log the date, shift, specific behavior, and your recognition action in the employee's HR note or your manager log. Keep language factual and behavioral ('Led the line during a 45-minute rush without a complaint'). This supports performance reviews and promotion conversations. Aim to log at least one positive note per employee per week."
What is the correct way to close the dining area?,"Wipe all tables and chairs with sanitizer solution. Stack chairs if applicable. Empty and clean all trash cans and replace liners. Sweep and mop floors. Restock napkins, condiments, and cup stations for morning. Turn off non-essential lights. Do a final walk-through and sign the closing log."
How do I sequence protein prep to minimize waste?,"Cook in smaller, more frequent batches rather than one large batch. Use sales data to time fire windows—typically every 20–30 minutes during peak. Monitor hold times strictly: chicken and steak max 4 hours on the line. Pull slow-moving items and repurpose before they expire. Adjust batch size down by 10% on slower days."
