question,answer,source
"What is OpenTelemetry?","OpenTelemetry, or OTel, is a vendor-neutral, open-source framework for generating, collecting, and exporting traces, metrics, and logs.",otel.md
"Why can you switch observability backends without changing the agent code?","The application emits spans over OTLP to an OpenTelemetry Collector, and the Collector decides which backends receive them, so changing backends does not require changing the agent's runtime instrumentation.",otel.md
"Where does this application send its spans?","The application emits spans over OTLP to an OpenTelemetry Collector, which then routes them to the configured observability backends.",otel.md
"What is Galileo?","Galileo is a GenAI observability and evaluation platform that accepts traces over OpenTelemetry OTLP and evaluates agent and LLM behavior.",galileo.md
"Which RAG quality metrics does Galileo provide?","Galileo's RAG quality metrics include context adherence, completeness, chunk attribution, and chunk utilization.",galileo.md
"What do Galileo's RAG metrics depend on?","They rely on retriever spans that contain the query and the retrieved document content.",galileo.md
"What runs the agent and how are responses delivered to the browser?","A FastAPI backend runs a LangGraph ReAct agent and streams responses to the web interface using server-sent events.",architecture.md
"When does retrieval happen relative to the model call?","A deterministic pre-model hook searches PostgreSQL with pgvector and adds relevant passages to the model input before the first model call.",architecture.md
"How do telemetry spans leave the application in this demo?","OpenTelemetry spans flow through a local Collector to Galileo or any other configured OTLP backend.",architecture.md
"Which model providers does the demo support?","The demo supports OpenAI, OpenRouter, and local Ollama through OpenAI-compatible chat APIs.",providers.md
"Which local models are available in the demo?","Local Qwen uses the qwen2.5:0.5b model and local Gemma uses gemma4:latest.",providers.md
"How do the chat and embedding endpoints differ for Ollama?","Ollama serves the OpenAI-compatible chat API under /v1, while the native Ollama endpoint is used by the nomic-embed-text embedding model.",providers.md
"What does context adherence measure?","Context adherence measures whether an answer is supported by the retrieved context.",rag-evaluation.md
"What is the difference between chunk attribution and chunk utilization?","Chunk attribution identifies which retrieved passages support an answer, while chunk utilization measures how much of the supplied context was useful.",rag-evaluation.md
"What does completeness measure?","Completeness measures whether the answer covers the information requested by the user.",rag-evaluation.md
"What must an evaluation include to compute these RAG metrics?","These evaluations require a retrieval step with the document content present in its telemetry span.",rag-evaluation.md
